em,name
em01,Rathian
em02,Fatalis
em03,Kelbi
em04,Mosswine
em05,Bullfango
em06,Yian Kut-Ku
em07,Lao-Shan Lung
em08,Cephalos
em09,Felyne
em10,Veggie Elder
em11,Rathalos
em12,Aptonoth
em13,Genprey
em14,Diablos
em15,Khezu
em16,Velocidrome
em17,Gravios
em18,Felyne
em19,Vespoid
em20,Gypceros
em21,Plesioth
em22,Basarios
em23,Melynx
em24,Hornetaur
em25,Apceros
em26,Monoblos
em27,Velocidrome
em28,Gendrome
em29,Boulder
em30,Iodrome
em31,Iodrome
em32,Piggy
em33,Kirin
em34,Cephalos
em35,Giadrome
em36,Crimson Fatalis
em37,Pink Rathian
em38,Blue Yian Kut-Ku
em39,Purple Gypceros
em40,Yian Garuga
em41,Silver Rathalos
em42,Gold Rathian
em43,Black Diablos
em44,White Monoblos
em45,Red Khezu
em46,Green Plesioth
em47,Black Gravios
em48,Diamyo Hermitaur
em49,Azure Rathalos
em50,Ashen Lao-Shan Lung
em51,Blangonga
em52,Congalala
em53,Rajang
em54,Kushala Daora
em55,Shen Gaoren
em57,Shakalaka
em58,Yama Tsukami
em59,Chameleos
em60,Rusted Kushala Daora
em61,Blango
em62,Congalala
em63,Remobra
em64,Lunastra
em65,Teostra
em66,Hermitaur
em67,Shogun Ceanataur
em68,Bulldrome
em69,Anteka
em70,Popo
em71,White Fatalis
em72,Yama Tsukami
em73,Ceanataur
em74,Treshi
em75,Tigrex
em76,Akantor
em77,Giaprey
em78,Yian Garuga
em79,Shakalaka
em80,Vespoid Queen
em81,Nargacuga
em82,Hypnocatrice
em83,Lavasioth
em84,Copper Blangonga
em85,Emerald Congalala
em86,Plum Daimyo Hermitaur
em87,Teostra
em88,Ukanlos
em89,Rajang
